geneId	chr	strand	start	end	ensembl_gene_id	hgnc_symbol	description
ENSG00000000003.13	chrX	-	100627109	100639991	ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000005.5	chrX	+	100584802	100599885	ENSG00000000005	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]
ENSG00000000419.11	chr20	-	50934867	50958555	ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457.12	chr1	-	169849631	169894267	ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460.15	chr1	+	169662007	169854080	ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938.11	chr1	-	27612064	27635277	ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971.14	chr1	+	196651878	196747504	ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036.12	chr6	-	143494811	143511690	ENSG00000001036	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084.9	chr6	-	53497341	53616970	ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167.13	chr6	+	41072945	41099976	ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460.16	chr1	-	24356999	24416934	ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461.15	chr1	+	24415794	24472976	ENSG00000001461	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497.15	chrX	-	65512582	65534775	ENSG00000001497	LAS1L	LAS1-like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001561.6	chr6	+	46129993	46146699	ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617.10	chr3	+	50155045	50189075	ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001626.13	chr7	+	117465784	117715971	ENSG00000001626	CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000001629.8	chr7	+	92246234	92401384	ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630.14	chr7	-	92112151	92142952	ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000001631.13	chr7	-	92198969	92246166	ENSG00000001631	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
ENSG00000002016.15	chr12	-	912077	990053	ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002330.12	chr11	-	64269830	64284704	ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549.11	chr4	+	17577192	17607972	ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002586.16	chrX	+	2691179	2741309	ENSG00000002586	CD99	CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000002587.8	chr4	-	11393150	11429765	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002726.18	chr7	+	150824627	150861504	ENSG00000002726	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]
ENSG00000002746.13	chr7	+	43112599	43566001	ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]
ENSG00000002822.14	chr7	-	1815793	2233243	ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000002834.16	chr17	+	38869859	38921770	ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
ENSG00000002919.13	chr17	+	48103357	48123074	ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]
